role_id,name
role_b9299a4a,Mayor Lezak
role_1b0e5279,Capt. Matthew Yelland
role_8812a456,Warren Lasky
role_cf142139,Laurel Scott
role_9c2939e4,Cdr. Richard Owens
role_bd4c5f71,Mr.Tideman
role_e82ad8b6,Cdr. Dan Thurman
role_d95e2e8b,Sen. Samuel Chapman
role_2f285a21,Black Cloud
role_c5320619,Lt. Perry
role_f8630d45,Simura
role_1c363c6e,Kira
role_ffbff51f,Danny McGuire
role_b267427e,Sonny Malone
role_c4a8cde9,Simpson
role_e1a10986,Helen
role_f580e85e,Sandra
role_2bdc8342,Richie
role_07ffdb56,Jo
role_8b7fd2ca,Muse #1
role_b616caae,Muse #2
role_5e9dc63b,Bud Davis
role_3eee3a50,Sissy
role_a81cf882,Wes Hightower
role_0e849f55,Pam
role_9a8bed1f,Bob Davis
role_9a6234ec,Corene Davis
role_eebf71eb,Marshall
role_ac89a48c,Steve Strange
role_f6a62945,Mickey Gilley
role_64fe9d7c,Johnny Lee
role_6686a9e4,Eddie Jessup
role_c20797f0,Emily Jessup
role_b762c7bb,Arthur Rosenberg
role_1d240f95,Mason Parrish
role_558972e2,Eccheverria
role_df7e5e47,Primal Man
role_95cbcd38,Sylvia Rosenberg
role_917b3097,Hobart
role_a476c1c9,The Brujo
role_7403ae02,Margaret Jessup
role_5497300d,Ferris
role_ae05b583,Angel
role_668766af,Gary
role_a6fc79fe,Randy
role_a592c64a,Ms. Bright
role_cc6d46af,Mr. Whitney
role_9885f7e8,Cinder
role_b12335a6,Dana
role_9eea7991,Chubby
role_02548943,Sunshine
role_6d5228f8,Admr. James Sandecker
role_157218da,Dirk Pitt
role_593b16b1,Dr. Gene Seagram
role_78d61108,Dana Archibald
role_eaebeeb2,John Bigalow
role_f571bd4f,Captain Prevlov
role_8550deee,MCPO Vinnie Walker
role_3f9ca428,Capt. Joe Burke
role_c186149f,Admiral Kemper
role_859f748a,Marganin
role_c47fb7ac,Henry Brubaker
role_8b59187c,Richard 'Dickie' Coombes
role_8bab9fed,Lillian Gray
role_39726d7b,John Deach
role_9f0d74d1,Larry Lee Bullen
role_9b15237a,Walter
role_7accaa0a,Roy Purcell
role_85ad0319,Huey Rauch
role_d0e8062f,Abraham Cook
role_a94a4a71,Zaranska
role_df0453d6,Julian
role_451b400c,Michelle
role_412c17e0,Sunday
role_173c6614,Anne
role_fb0cbf28,Leon
role_b1bac53e,Charles Stratton
role_494560e8,Lisa Williams
role_981bdcf7,Mr. Rheiman
role_70da8a41,Judy Rheiman
role_4f555806,Lt. Curtis
role_a72f8495,Clifford
role_4708c372,Linderman
role_1d140296,Moody
role_d15ce9de,Carson
role_6d7627a7,Mike
role_cc29cf44,Shelley
role_3ddf5158,Hightower
role_b5a91a71,Koontz
role_66ddf5d3,Dubrow
role_6903a462,Leilani
role_330e8d61,Donna Keppel
role_345cf9fa,Bobby
role_05baab31,Claire
role_67585767,Lisa Hines
role_60f6fe82,Ronnie Heflin
role_75561209,Michael
role_e0670fb2,Detective Nash
role_b1baf6d0,Crissy Lynn
role_dcc06cae,Rick Leland
role_4a7e1259,Ms. Waters
role_d95d8f66,Bandit
role_34d7c787,Sheriff Buford T. Justice
role_5c745fb9,Gaylord Justice
role_9ac59c46,Reginald Van Justice
role_14158924,Cledus
role_73c69d2b,Doc
role_8c917783,Carrie
role_8e8406dd,Little Enos
role_8574024d,Big Enos
role_011202ac,John Conn
role_c33cda24,Bill Dalton
role_2e4369c5,Red Buck
role_1a7d18d8,Little Dick Raidler
role_342d2d8d,George Weightman
role_250d8366,Bittercreek Newcomb
role_0c047af7,Dynamite Dick
role_153d8bc1,Engineer
role_3244934b,Annie
role_fece1d2c,Jenny - 'Little Britches'
role_3985fb64,Bill Doolin
role_a0cbd619,Glenda Parks
role_e8d5e838,Nicholas Gardenia
role_4e026a9b,Ira Parks
role_1a8bea0f,Fred
role_78d00d9f,Judge John Channing
role_ac038ce1,Governor
role_b173fadd,Aurora De La Hoya
role_d7c9e7b7,Chester
role_8c14630b,Dex
role_aeda12ab,Bee Gee
role_dbc8988c,Judy Benjamin
role_d0e6ffe7,Capt. Doreen Lewis
role_ba967c38,Henrí Trémont
role_7d01185c,Col. Clay Thornbush
role_a6294fc0,Teddy Benjamin
role_20fa7a23,Harriet Benjamin
role_c49d29c4,Pvt. Mary Lou Glass
role_4b2fef68,Sgt. Jim Ballard
role_3b74413d,Yale Goodman
role_293a0f71,Rabbi
role_dec578e7,Earle
role_37b00c28,Mechanic
role_806d5938,Homeowner
role_e1a301c9,Pledge
role_f9475331,Homeowner
role_5231dff2,Driving Instructor
role_63a3e453,Pledge
role_f18fc94a,Do Wopper
role_9f88f4c9,Do Wopper
role_08c24c28,PomPom Girl
role_a40a7c53,Vincent Smith
role_3cb00812,Bruce Smith
role_30b64253,Ida Smith
role_0ae2fc2a,Terry
role_84e8ee47,Reverend Billy
role_b551f998,Edith Olson
role_166d552f,Guy Robaire
role_c077ff6d,1st T.V. Preacher
role_1ca90a6d,Debbie
role_1fcad40a,Suzi
role_2583a64c,Jess Robin
role_03e41219,Yussel Rabinovitch
role_0d854fa8,Cantor Rabinovitch
role_cc465c72,Molly Bell
role_7e4d3d00,Rivka Rabinovitch
role_b4f1cb4b,Bubba
role_1510ab7a,Keith Lennox
role_be30c2a8,Eddie Gibbs
role_3921e1aa,Leo
role_be38960a,Paul Rossini
role_fa2bd5c0,Loretta Lynn
role_af0b829a,Doolittle Lynn
role_5cc718f1,Ted Webb
role_89a4642e,'Clary' Webb
role_187a33b8,Webb Child
role_44c49b87,Webb Child
role_4f0dfbdb,Webb Child
role_37f3e324,Webb Child
role_65761d2e,Webb Child
role_8bb32be8,Lee Dollarhide
role_17f45949,Mrs. Aylwood
role_5470da13,Jan Curtis
role_8f58f014,Ellie Curtis
role_0761e559,Helen Curtis
role_d456689e,Paul Curtis
role_05e6b015,Mike Fleming
role_f4d7830e,Mary Fleming
role_c9f77f4c,Tom Colley
role_424a9f64,John Keller
role_12fc797c,Karen Aylwood
role_efbb06f2,Harry 'Breaker' Morant
role_be341f65,Major J.F. Thomas
role_c4ecd75f,Cpt. Alfred Taylor
role_f2c0b6d6,Lt. Peter Handcock
role_8760ba6f,Lt. Col. Denny
role_dc5d6495,Cpt. Simon Hunt
role_27b34cf0,Col. Ian (Johnny) Hamilton
role_e55c036f,Sar. Maj. Drummond
role_e9af385d,Cpl. Sharp
role_b3a7e8f4,Christiaan Botha
role_307cc7fa,Eli Cross
role_c472eee9,Cameron
role_95f2e3c0,Nina Franklin
role_e1d14d3a,Sam
role_e13e8cca,Jake
role_ef782ff8,Denise
role_6a2a5353,Raymond Bailey
role_5d56b3e6,Ace
role_4e1ca825,Chuck Barton
role_4051b83f,Gabe - Eli's Cameraman
role_8c2c1e85,Tex Houston
role_5d23a826,Laddie Gray
role_b2940fb0,Ananias
role_3ef6eda3,Peewee
role_40d2f251,Foster
role_55212ebc,Sellers
role_44594db7,Three-Finger Rogel
role_2d614bd3,Jeff Gray
role_ec763856,Rogell-Rider Shifty
role_4a98fe4b,Hodge
role_cc2256d8,Florence Cathcart
role_674fa1e2,Robert Mallory
role_045a5ccc,Maud Hill
role_994e7df5,Tom Hill
role_74a8a362,Malcolm McNair
role_d739432f,Edward Judd
role_c33bab0c,Harriet Cathcart
role_5e15f6ed,Alexander Cathcart
role_fd897d79,Reverend Hugh Purslow
role_82e55141,Freddie Strickland
role_91bdcd23,Cheech
role_2eace7f5,Dwayne 'Red' Mendoza
role_7ee15b02,Chong
role_777643fe,Donna
role_ac3019c8,Candy
role_b1ff4c00,Mr. Neatnik
role_4b19adf8,Gloria
role_16379112,Gay Motorcyclist
role_0855da1f,Executive
role_80a066c4,Music Store Salesman
role_3622c832,Lincoln Six Echo
role_6d7cc0d4,Tom Lincoln
role_72bed6a4,Jordan Two Delta
role_95a22865,Sarah Jordan
role_895716aa,Albert Laurent
role_18dd91ef,Dr. Bernard Merrick
role_e1910b9e,James McCord
role_41ac7e12,Starkweather Two Delta
role_59e408cf,Jamal Starkweather
role_c0b3681a,Jones Three Echo
role_1c2299c5,Lacey
role_93bb149c,Jake
role_db57bc5d,Dr. Warren
role_c7a26157,Willy
role_2ecba545,Kevin
role_da230332,Aunt Helen
role_f8b74b29,Uncle Ernest
role_8ca8f619,Father Reilly
role_c38731ff,Young Willy
role_4e11092e,Young Lacey
role_411b8805,Maxwell Smart
role_0b7aafa6,Agent 34
role_b5b7d496,Edith Von Secondberg
role_e2ca9422,Chief
role_d73bc403,Agent 36
role_13357625,Agent 22
role_dbfda93a,Carruthers
role_b3c1e57f,Jonathan Levinson Seigle
role_6227e6d5,Jerry Krovney
role_6ebaacfa,Pam Krovney
role_358a8769,Omar Mukhtar
role_500dde6a,Gen. Rodolfo Graziani
role_7d449255,Mabrouka
role_b42c9441,Colonel Diodiece
role_20662117,Benito Mussolini
role_256f9dfe,Sharif El Gariani
role_1889dbae,Salem
role_7f7b73f0,Major Tomelli
role_c21799b9,Lt. Sandrini
role_1507ac2d,Colonel Sarsani
role_791f37a4,Sandy Bates
role_a33c5ce3,Dorrie
role_2fec1388,Daisy
role_7b58f120,Isobel
role_8f59746a,Tony
role_8739e1ac,Actor
role_269c9767,Shelley
role_8993cce4,Vivian Orkin
role_2a823033,Jack Abel
role_a19d7adc,Sandy's Sister
role_235c5da2,Howard Hughes
role_258fd4f3,Melvin Dummar
role_2fd5347b,Darcy Dummar
role_cdb3ee35,Lynda Dummar
role_f0e7ff37,Clark Taylor
role_a1b841b6,Bus Depot Counterman
role_835536b2,Little Red
role_10d7b75c,Lucy
role_fb3e4f55,Go-Go Club Owner #1
role_ae4eb199,Go-Go Dancer
role_49e4213a,Village People: Policeman
role_82767375,Village People: Construction W
role_e12ee77c,Village People: Indian
role_3e28ea44,Village People: Cowboy
role_d44405ef,Village People: Leatherman
role_3a74cd6b,Village People: G.I.
role_53515672,Samantha Simpson
role_a58fea47,Ron White
role_51bffccf,Jack Morell
role_64608424,Steve Waits
role_d1afe7f0,Bronco Billy
role_5434c65b,Antoinette Lily
role_eec8252a,John Arlington
role_7396edf2,Doc Lynch
role_579a60c3,Lefty LeBow
role_992a80b3,Leonard James
role_7fe540eb,Chief Big Eagle
role_638fbba5,Lorraine Running Water
role_bf1604d8,Sheriff Dix
role_35d5a918,Dr. Canterbury
role_e61c5fe0,Snàporaz
role_ac9bc9ba,Elena
role_7974c368,Woman on train
role_e20bd98d,Motorcyclist
role_8b281ee4,Donatella (Woman on roller ska
role_93a690a3,Dr. Xavier Katzone
role_4f3275ec,Oliver Hardy
role_3cef12fa,Feminist
role_82319dc0,Commandant
role_bd41a0d8,Slave
role_4a12d2eb,Dr. Tart
role_28cf73d7,Inspector Winship
role_9ed19536,Mistress Phyllis Morley
role_bffeaf50,Justin
role_2df4fef6,Nanny
role_c0c792d9,Mr. Uwatsum
role_19543923,Tibet
role_8586eddc,Jock
role_7eb3254b,Hilda
role_2c11a493,Lord Morley
role_cbeb9df8,Hank Anderson
role_8c4f2f7c,Kay Kirby
role_c7698908,Shelby Gilmore
role_830b1f9f,Brian
role_cf74d9c9,Francis Fendly
role_51d6f025,Iolani
role_9d46dd85,Rose Valdez
role_992aa462,Nikki
role_47bac373,Tiny Baker
role_a5d6fe90,Rene Valdez
role_f850370a,Browning
role_16e3a3f1,Benji a.k.a Browning
role_1198dd41,Jackie
role_4770820c,Bart
role_a658b9b9,Bernie
role_f317bcfa,Higgins
role_38026c63,Deaf Postie
role_37cd7087,Freddie
role_22c57d0a,Alistair Becket
role_0dfe8c71,Montanero
role_5480400b,Scott James
role_947e67ec,Justine
role_a53a500c,McCarn
role_1c6f33f5,A. J.
role_e600c223,Aura
role_04f2cac6,Seikura
role_7894db54,Nancy
role_918775b7,Tibor
role_34606a9c,Doggo
role_ab0e4a16,Kyo - Seikura's Enforcer
role_c479b398,Steve Bancroft
role_b907480c,Gordon Cain
role_6c11375d,Lew Price
role_70743152,Frank Morrison
role_49d6e312,Frank Lafferty
role_33a5a379,Sarah Michaels
role_6eda0c58,Phil Cameron
role_364484f6,Paul Bannister
role_eb4a9054,Professor Mills
role_55b7eae9,Harry Forbes
role_71c966a9,Aunt Louise
role_fc32210d,D.J.
role_e254c1d1,Prindle
role_d12c7c81,Pete
role_53c63b0c,Melissa
role_a3fd50d2,Paco
role_d5c1dfe5,Captain Blythe
role_86370945,Shepard
role_b71239d8,Quinn
role_f52b1cf3,Chief Steward
role_702e94c4,Paul Dietrich
role_8d14f52d,Heidi Joan Schoonover
role_e223de56,Greta Vandemann
role_1ad8b9e1,Andrew Erskine
role_07b440b7,Jerry DiSalvo
role_8971ac4e,Michael Humphries
role_f005a027,Tatjana Baronova
role_309d9cef,Mark Landau
role_270a3f1b,Mr. Dietrich
role_7e039715,Mrs. Dietrich
role_d25a8710,Kate Gunzinger
role_06e3c439,Ben Lewin
role_812ebce3,Homer
role_ddb492c2,Emma
role_3c06ffbb,Jacob
role_52aadcef,Maryanne
role_1925fb45,Rita
role_d5229d5a,Hunter
role_8f7c7172,Jerome
role_28018f03,Flicker
role_ccf55ce2,Buck Bonham
role_d1b7a2f0,Viv Bonham
role_3b178a22,Lily Ramsey
role_c8763eed,Garland Ramsey
role_bd0bbc83,Jamie Bonham
role_affd0d60,Sid
role_b55adfea,Rosella Ramsey
role_e2285566,Cotton Roberts
role_92dfa3b0,Rooster
role_589eee4a,Brag (Cotton's manager)
role_4d8be676,Margaret
role_cd7185aa,David
role_fad900fa,Abbie
role_28259049,Peter
role_fb25075d,Gwyn
role_a8a0fa21,Officer Geary
role_2bcd1a7b,Desk Clerk
role_f85ee89c,Tess
role_e4b58814,Amanda
role_57c638c1,Driver
role_0356a25a,Dominick DiNapoli
role_a22e3415,Antoinette
role_f1716ec0,Frankie
role_291e8388,Lydia
role_509a4766,Charlie
role_c8043893,Vito
role_79a4a189,Ida Rendino
role_fbacb234,Johnny
role_c55f5e70,Mrs. Goodman
role_fb1f2fe2,Sonny
role_7b85e7d6,Katerina 'Katya' Tikhomirova
role_c4582570,Georgiy 'Gosha'
role_e94f2d34,Lyudmila Sviridova
role_c97d6373,Sergey 'Seryozha' Gurin
role_9f05feb6,Antonina Buyanova
role_e8d26af8,Nikolay
role_b1e9e8bf,Rodion 'Rudolph' Rachkov
role_6d34bf33,Aleksandra - Katerina's Daught
role_f4277e62,Volodya
role_0017c275,Rachkov's Mother
role_6ef172bc,Fu Manchu
role_3a0b32cd,Nayland Smith
role_13cd6514,Alice Rage
role_52085206,Sir Roger Avery
role_d8bf44eb,Joe Capone
role_6fb653cc,Robert Townsend
role_9a00ea0c,Pete Williams
role_117be47a,Ismail
role_4d63098c,Perkins
role_658c5eb9,Sir Nules Thudd
role_4f6eb907,Harvey Holroyd
role_f1f4e431,Kate Holroyd
role_45bd5d46,Martha
role_0089582d,Stewart Luckman
role_935e9ee1,Skull
role_e2fb06fa,Sam Stone
role_9b951271,Dr. Leonard Miller
role_29596ea4,Rev. Spike
role_faa11d02,Vivian
role_a058f5d3,Carol
role_c4d32958,Steve Nichols
role_8c9e37e9,J. Marsh
role_a50403c9,Walter Reeves
role_f2668ed9,Calvin Donnelly
role_402a9395,Eddie
role_00857b1f,Mrs. Havacheck
role_78082def,Gloria Preston
role_7db2e819,Mayor
role_329ea3a5,Milo
role_9366bb38,Marty Fields
role_9acb5655,Harvey
role_28838d47,Herschel
role_9baff296,Zoey
role_355d0350,Zerelda
role_d80538d4,Hyssop
role_e56f39e7,Angel Of The Lord
role_efbc5514,Tailor
role_e42b5662,Shadrach
role_c0377d61,Archangel
role_7ea7da62,Sorceress
role_0192123d,Linus van Pelt
role_9680d512,Waiter
role_f27ba614,Baron
role_a78c4280,Driver
role_9f3486b7,Tennis Announcer
role_487376ed,English Voice
role_bbfd1d14,American Male
role_e4cf8080,Marcie
role_28768b8f,Stewardess
role_65a2052b,Patricia 'Peppermint Patty' Re
role_636c0adb,Brother Ambrose
role_c5271e8a,Dr. Sebastian Melmoth
role_ce603f36,Mary
role_a2ee40af,G.O.D.
role_8c228211,Armageddon T. Thunderbird
role_616035b0,Abbot Thelonious
role_f290747d,Priest
role_31a6ced6,Waitress
role_7ae09c24,Skateboarder
role_ac6c3403,Gardener
role_c163ff0b,Jimmy
role_d304e190,Nikki
role_287bc4c1,Randy Stevens
role_fff50dbb,Mom
role_d45e5877,Don Muller
role_e38dacf7,Marilyn Muller
role_ab4f72d8,Lizette
role_290a8bd2,Hispanic Store Owner
role_820fa54a,Male Cop
role_e191b318,Female Cop
role_19712ce4,Bones Burton
role_e02a03f4,Max Herschel
role_3a1f7459,Stella Liberti
role_ad777df5,Seymour Berger
role_e776df6f,Mike Berger
role_8d5092a0,Steven Routledge
role_81de9386,Cathy
role_ea8e3203,Baby
role_1ad577c2,Connie Herschel
role_8becbed8,Dr. Coleson
role_749b16dc,Noah Dugan
role_716ae0b0,Bernadette Lafleur
role_84f4a665,Bobby
role_a1f7d882,Stoney
role_ecf6bb67,Julie
role_e2e34f82,Cleveland
role_5d81909e,Hiro
role_0627b945,Coslough
role_15e3bdcd,Benchley
role_66540ff1,Charlotte Braithwaite
role_b17557b3,Sorrowful Jones
role_1f99684c,Amanda Worthington
role_b2199bb3,Blackie
role_2928bd44,Regret
role_86ce09fa,The Judge
role_e0fccfca,Herbie
role_50fe4a42,Brannigan
role_00e221e5,Carter
role_0b99170b,The Kid
role_4ba32c5f,Benny
role_5d1d7574,Willie Kaufman
role_7e8dfc67,Jeannette Sutherland
role_f8d6e838,Phil D'Amico
role_e9b76575,Mrs. Kaufman
role_12cfb0c7,Mr. Kaufman
role_fbff9ae8,Maria D'Amico
role_4f915bf6,Salvatore D'Amico
role_08534ec1,Mrs. Sutherland
role_930b1389,Patti Sutherland
role_dfea2654,Rena
role_fad88ee6,Truck Driver
role_76ea054d,Manny Torres
role_c4e91449,Elephant Wrangler
role_829be243,Police Officer
role_165a552a,Dale
role_327d3a77,Jane Thornton
role_136ace7f,Orville Pickwick
role_572eb786,Sidney Palmer
role_e16f2e18,Joe Holiday
role_931ff39e,Reggie
role_1a2e0314,Windwalker
role_1466b5a1,Smiling Wolf
role_ae69af81,Crow Brother
role_dff1c495,Narrator
role_d7578d73,Windwalker as a young man
role_ee2ba0c2,Tashina
role_3d9994ad,Dancing Moon
role_332b7071,Little Feather
role_a0ddfeb8,Spotted Deer
role_b289d88a,Horse That Follows
role_6fb2afae,Mehak
role_2453f95f,Jiah
role_9fd8720d,Anusha
role_9f6cf697,Nikki
role_7831dfeb,Shaan
role_d21f7bf4,Joey
role_df0b1844,Manu Malhotra
role_969f9988,Emily Hollander
role_a125f285,Bob Luffrono
role_1f48dd17,Andrea Glassen
role_f7e2af82,Ida Marx
role_105ec366,Sam Marx
role_3ee39906,Steven Hollander
role_3e7dcff7,Dr. Marin
role_5af529c7,Lawrence Obecny
role_9d772c56,Detective Swid
role_a1a02fb4,Police Woman
role_2064377a,Evelyn
role_51e6c294,Walter
role_300eb7c8,Stephanie
role_be3bbbb6,Greg
role_51f83af9,Mrs. Liggett
role_c30d5201,Walter's Nurse
role_1c9e45bb,Dulcy
role_5724b56f,Elegant Doctor
role_76b229f7,Nurse
role_ba919b07,Hotel Clerk
role_4dee6589,L'oiseau
role_7d91efbd,Le roi
role_6fcb1ecb,Le chef de la police
role_d02f5f44,La bergère
role_c9d41ddf,Le ramoneur
role_ca29a4dc,Le sentencieux
role_6a434c27,L'aveugle
role_d82058f3,Le liftier
role_888f1198,Le speaker
role_f9046c63,Le belluaire
role_72ab494d,God
role_54f06b28,Paula Richards
role_8c593efd,Don Richards
role_3d1bbd66,Tracy Richards
role_ac2885a1,Shingo
role_ed65c678,Charles Benson - School Princi
role_c26bddbe,Dr. Jerome Newell
role_fe26b124,NBC Newscaster
role_b8aa5b81,Herself on NBC
role_a458169d,Judge Thomas Miller
role_6037111b,Harry Crystal
role_ad73b204,Ramona
role_889fab3f,Artie Shoemaker
role_c41ff563,Mr. Shoemaker
role_1b64f6ea,Dr. Julius Fuldauer
role_51ddaed6,Mickey Bellinger
role_c3b30cee,Fibby Geyer
role_7bf7340b,Sherman Sprat
role_021a7e08,Cooky
role_d147db0e,D'Angeli
role_1f6bac69,Albin Mougeotte
role_d7585dc8,'Zaza Napoli'
role_7b5ae3d8,Renato Baldi
role_3b701a62,Broca
role_4ac1e3f4,Mrs. Baldi
role_c1a5e147,Milan
role_526520be,Luigi
role_c78f7925,Ralph
role_a1141ef2,Jacob
role_3486f587,Simon Charrier
role_cb268a6d,Red
role_912abdb5,Chuck Barris
role_0aab825d,Bum
role_d7db4313,Violin Player (Elderly Man)
role_41ea1049,Singing Group
role_0656bafe,Winking Man
role_d3e60406,Trumpet Man
role_fc46ca75,Mabel
role_31ccc363,Mabel's Mama
role_06d6f16f,Buddy Didlo
role_f21fed78,Self
role_b7a4b449,Self - Various
role_de7d982e,Father Guido Sarducci
role_5861e517,Don Kirshner
role_9ed2809a,Arnie Schnachtman
role_da1b2763,Student Body President
role_dee23489,The Candy Slice Group
role_c2806505,Roadie
role_a0d058d8,Audition Scene Pianist
role_1c79ada6,The Candy Slice Group
role_6818a4fc,Cletus
role_6d6e53d0,Kay
